Nivel_Unificado;CURSO_NORMALIZADO;Alumno_ID
Primario;1°;4265
Primario;2°;4739
Primario;3°;4828
Primario;4°;4650
Primario;5°;4632
Primario;6°;4401
Primario;7°;4698
Secundario;1°;12003
Secundario;2°;11518
Secundario;3°;10699
Secundario;4°;8925
Secundario;5°;7905
Secundario;6°;2359
