Escuela_ID;Total_Alumnos_por_Escuela_ID;DESEMPEÑO;Total_Alumnos_por_Tipo_de_Desempeño;Desempeño_por_Escuela
1037;417;Medio;123;29.5
1038;371;Avanzado;23;6.2
1038;371;Básico;117;31.54
1038;371;Crítico;103;27.76
1038;371;Medio;123;33.15
1043;655;Avanzado;97;14.81
1043;655;Básico;143;21.83
1043;655;Crítico;59;9.01
1043;655;Medio;354;54.05
1050;638;Avanzado;103;16.14
1050;638;Básico;167;26.18
1050;638;Crítico;122;19.12
1050;638;Medio;246;38.56
1052;786;Avanzado;32;4.07
1052;786;Básico;275;34.99
1052;786;Crítico;216;27.48
1052;786;Medio;250;31.81
1053;603;Avanzado;95;15.75
1053;603;Básico;149;24.71
1053;603;Crítico;189;31.34
1053;603;Medio;169;28.03
1054;568;Avanzado;22;3.87
1054;568;Básico;169;29.75
1054;568;Crítico;256;45.07
1054;568;Medio;116;20.42
1055;448;Avanzado;10;2.23
1055;448;Básico;113;25.22
1055;448;Crítico;246;54.91
1055;448;Medio;79;17.63
1065;630;Avanzado;61;9.68
1065;630;Básico;138;21.9
1065;630;Crítico;260;41.27
1065;630;Medio;171;27.14
1066;400;Avanzado;21;5.25
1066;400;Básico;130;32.5
1066;400;Crítico;131;32.75
1066;400;Medio;117;29.25
1069;585;Avanzado;28;4.79
1069;585;Básico;164;28.03
1069;585;Crítico;168;28.72
1069;585;Medio;216;36.92
1070;492;Avanzado;1;0.2
1070;492;Básico;2;0.41
1070;492;Crítico;92;18.7
1070;492;Medio;1;0.2
1073;864;Avanzado;39;4.51
1073;864;Básico;204;23.61
1073;864;Crítico;419;48.5
1073;864;Medio;182;21.06
1074;265;Básico;1;0.38
1074;265;Crítico;21;7.92
1074;265;Medio;1;0.38
1080;638;Avanzado;25;3.92
1080;638;Básico;204;31.97
1080;638;Crítico;268;42.01
1080;638;Medio;141;22.1
1092;981;Avanzado;118;12.03
1092;981;Básico;126;12.84
1092;981;Crítico;438;44.65
1092;981;Medio;298;30.38
1096;920;Avanzado;62;6.74
1096;920;Básico;246;26.74
1096;920;Crítico;385;41.85
1096;920;Medio;226;24.57
1098;492;Avanzado;26;5.28
1098;492;Básico;141;28.66
1098;492;Crítico;208;42.28
1098;492;Medio;117;23.78
1099;1636;Avanzado;172;10.51
1099;1636;Básico;302;18.46
1099;1636;Crítico;608;37.16
1099;1636;Medio;553;33.8
1103;470;Avanzado;50;10.64
1103;470;Básico;136;28.94
1103;470;Crítico;104;22.13
1103;470;Medio;177;37.66
1106;1124;Avanzado;46;4.09
1106;1124;Básico;344;30.6
1106;1124;Crítico;422;37.54
1106;1124;Medio;309;27.49
1107;515;Avanzado;30;5.83
1107;515;Básico;169;32.82
1107;515;Crítico;158;30.68
1107;515;Medio;156;30.29
1108;787;Avanzado;90;11.44
1108;787;Básico;241;30.62
1108;787;Crítico;157;19.95
1108;787;Medio;272;34.56
1109;855;Avanzado;26;3.04
1109;855;Básico;294;34.39
1109;855;Crítico;326;38.13
1109;855;Medio;209;24.44
1110;513;Avanzado;95;18.52
1110;513;Básico;130;25.34
1110;513;Crítico;63;12.28
1110;513;Medio;225;43.86
1111;441;Avanzado;10;2.27
1111;441;Básico;151;34.24
1111;441;Crítico;166;37.64
1111;441;Medio;114;25.85
1116;677;Avanzado;75;11.08
1116;677;Básico;187;27.62
1116;677;Crítico;151;22.3
1116;677;Medio;255;37.67
1120;618;Avanzado;65;10.52
1120;618;Básico;161;26.05
1120;618;Crítico;116;18.77
1120;618;Medio;270;43.69
1121;545;Avanzado;63;11.56
1121;545;Básico;122;22.39
1121;545;Crítico;191;35.05
1121;545;Medio;169;31.01
1125;366;Avanzado;6;1.64
1125;366;Básico;55;15.03
1125;366;Crítico;224;61.2
1125;366;Medio;81;22.13
1133;579;Avanzado;39;6.74
1133;579;Básico;202;34.89
1133;579;Crítico;195;33.68
1133;579;Medio;141;24.35
1134;257;Avanzado;11;4.28
1134;257;Básico;89;34.63
1134;257;Crítico;83;32.3
1134;257;Medio;66;25.68
1140;641;Avanzado;10;1.56
1140;641;Básico;188;29.33
1140;641;Crítico;346;53.98
1140;641;Medio;90;14.04
1141;298;Avanzado;4;1.34
1141;298;Básico;58;19.46
1141;298;Crítico;179;60.07
1141;298;Medio;53;17.79
1142;315;Avanzado;28;8.89
1142;315;Básico;67;21.27
1142;315;Crítico;128;40.63
1142;315;Medio;89;28.25
1143;880;Avanzado;573;65.11
1143;880;Básico;9;1.02
1143;880;Crítico;87;9.89
1143;880;Medio;120;13.64
1144;567;Avanzado;22;3.88
1144;567;Básico;156;27.51
1144;567;Crítico;260;45.86
1144;567;Medio;129;22.75
1154;791;Avanzado;24;3.03
1154;791;Básico;132;16.69
1154;791;Crítico;403;50.95
1154;791;Medio;231;29.2
1162;338;Avanzado;2;0.59
1162;338;Básico;66;19.53
1162;338;Crítico;246;72.78
1162;338;Medio;23;6.8
1163;256;Avanzado;4;1.56
1163;256;Básico;83;32.42
1163;256;Crítico;117;45.7
1163;256;Medio;43;16.8
1168;144;Avanzado;8;5.56
1168;144;Básico;36;25.0
1168;144;Crítico;66;45.83
1168;144;Medio;32;22.22
1170;143;Avanzado;4;2.8
1170;143;Básico;49;34.27
1170;143;Crítico;62;43.36
1170;143;Medio;28;19.58
1176;320;Avanzado;4;1.25
1176;320;Básico;74;23.12
1176;320;Crítico;212;66.25
1176;320;Medio;28;8.75
1181;223;Avanzado;4;1.79
1181;223;Básico;50;22.42
1181;223;Crítico;141;63.23
1181;223;Medio;28;12.56
1189;384;Avanzado;11;2.86
1189;384;Básico;120;31.25
1189;384;Crítico;170;44.27
1189;384;Medio;76;19.79
1191;322;Avanzado;5;1.55
1191;322;Básico;90;27.95
1191;322;Crítico;177;54.97
1191;322;Medio;49;15.22
1198;220;Avanzado;6;2.73
1198;220;Básico;66;30.0
1198;220;Crítico;115;52.27
1198;220;Medio;33;15.0
1199;478;Avanzado;17;3.56
1199;478;Básico;173;36.19
1199;478;Crítico;176;36.82
1199;478;Medio;112;23.43
1200;130;Avanzado;9;6.92
1200;130;Básico;33;25.38
1200;130;Crítico;49;37.69
1200;130;Medio;38;29.23
1202;283;Avanzado;7;2.47
1202;283;Básico;100;35.34
1202;283;Crítico;105;37.1
1202;283;Medio;68;24.03
1204;371;Avanzado;15;4.04
1204;371;Básico;101;27.22
1204;371;Crítico;183;49.33
1204;371;Medio;72;19.41
1209;444;Avanzado;23;5.18
1209;444;Básico;152;34.23
1209;444;Crítico;156;35.14
1209;444;Medio;112;25.23
1224;109;Avanzado;2;1.83
1224;109;Básico;25;22.94
1224;109;Crítico;71;65.14
1224;109;Medio;8;7.34
1241;152;Avanzado;6;3.95
1241;152;Básico;56;36.84
1241;152;Crítico;50;32.89
1241;152;Medio;40;26.32
1450;690;Avanzado;174;25.22
1450;690;Básico;166;24.06
1450;690;Crítico;109;15.8
1450;690;Medio;230;33.33
1812;387;Avanzado;91;23.51
1812;387;Básico;105;27.13
1812;387;Crítico;60;15.5
1812;387;Medio;125;32.3
1813;385;Avanzado;126;32.73
1813;385;Básico;61;15.84
1813;385;Crítico;73;18.96
1813;385;Medio;111;28.83
1817;284;Avanzado;107;37.68
1817;284;Básico;43;15.14
1817;284;Crítico;30;10.56
1817;284;Medio;104;36.62
1818;402;Avanzado;146;36.32
1818;402;Básico;88;21.89
1818;402;Crítico;31;7.71
1818;402;Medio;137;34.08
1820;486;Avanzado;135;27.78
1820;486;Básico;107;22.02
1820;486;Crítico;66;13.58
1820;486;Medio;174;35.8
1823;276;Avanzado;110;39.86
1823;276;Básico;43;15.58
1823;276;Crítico;13;4.71
1823;276;Medio;110;39.86
1824;376;Avanzado;104;27.66
1824;376;Básico;75;19.95
1824;376;Crítico;34;9.04
1824;376;Medio;161;42.82
1831;283;Avanzado;49;17.31
1831;283;Básico;55;19.43
1831;283;Crítico;62;21.91
1831;283;Medio;108;38.16
1832;203;Avanzado;58;28.57
1832;203;Básico;41;20.2
1832;203;Crítico;24;11.82
1832;203;Medio;70;34.48
1837;355;Avanzado;92;25.92
1837;355;Básico;61;17.18
1837;355;Crítico;47;13.24
1837;355;Medio;153;43.1
1842;388;Avanzado;141;36.34
1842;388;Básico;68;17.53
1842;388;Crítico;24;6.19
1842;388;Medio;153;39.43
1844;355;Avanzado;96;27.04
1844;355;Básico;81;22.82
1844;355;Crítico;29;8.17
1844;355;Medio;149;41.97
1846;116;Avanzado;57;49.14
1846;116;Básico;14;12.07
1846;116;Crítico;6;5.17
1846;116;Medio;36;31.03
1847;354;Avanzado;133;37.57
1847;354;Básico;60;16.95
1847;354;Crítico;49;13.84
1847;354;Medio;109;30.79
1849;352;Avanzado;176;50.0
1849;352;Básico;40;11.36
1849;352;Crítico;7;1.99
1849;352;Medio;129;36.65
1852;360;Avanzado;99;27.5
1852;360;Básico;71;19.72
1852;360;Crítico;28;7.78
1852;360;Medio;155;43.06
1854;197;Avanzado;44;22.34
1854;197;Básico;67;34.01
1854;197;Crítico;38;19.29
1854;197;Medio;48;24.37
1856;176;Avanzado;19;10.8
1856;176;Básico;50;28.41
1856;176;Crítico;48;27.27
1856;176;Medio;59;33.52
1862;140;Avanzado;23;16.43
1862;140;Básico;32;22.86
1862;140;Crítico;36;25.71
1862;140;Medio;49;35.0
1865;159;Avanzado;61;38.36
1865;159;Básico;32;20.13
1865;159;Crítico;2;1.26
1865;159;Medio;62;38.99
1867;433;Avanzado;110;25.4
1867;433;Básico;96;22.17
1867;433;Crítico;53;12.24
1867;433;Medio;170;39.26
1869;357;Avanzado;72;20.17
1869;357;Básico;85;23.81
1869;357;Crítico;61;17.09
1869;357;Medio;133;37.25
1875;345;Avanzado;196;56.81
1875;345;Básico;45;13.04
1875;345;Crítico;26;7.54
1875;345;Medio;76;22.03
1877;158;Avanzado;31;19.62
1877;158;Básico;36;22.78
1877;158;Crítico;34;21.52
1877;158;Medio;57;36.08
1878;379;Avanzado;101;26.65
1878;379;Básico;93;24.54
1878;379;Crítico;29;7.65
1878;379;Medio;151;39.84
1882;312;Avanzado;129;41.35
1882;312;Básico;61;19.55
1882;312;Crítico;26;8.33
1882;312;Medio;95;30.45
1883;194;Avanzado;51;26.29
1883;194;Básico;42;21.65
1883;194;Crítico;32;16.49
1883;194;Medio;69;35.57
1884;732;Avanzado;299;40.85
1884;732;Básico;133;18.17
1884;732;Crítico;54;7.38
1884;732;Medio;243;33.2
1885;188;Avanzado;62;32.98
1885;188;Básico;47;25.0
1885;188;Crítico;14;7.45
1885;188;Medio;63;33.51
1887;152;Avanzado;16;10.53
1887;152;Básico;45;29.61
1887;152;Crítico;57;37.5
1887;152;Medio;30;19.74
1905;54;Básico;22;40.74
1905;54;Crítico;17;31.48
1905;54;Medio;12;22.22
1908;338;Avanzado;43;12.72
1908;338;Básico;92;27.22
1908;338;Crítico;114;33.73
1908;338;Medio;85;25.15
1909;277;Avanzado;116;41.88
1909;277;Básico;48;17.33
1909;277;Crítico;23;8.3
1909;277;Medio;90;32.49
1910;339;Avanzado;142;41.89
1910;339;Básico;61;17.99
1910;339;Crítico;32;9.44
1910;339;Medio;101;29.79
1913;139;Avanzado;49;35.25
1913;139;Básico;21;15.11
1913;139;Crítico;11;7.91
1913;139;Medio;58;41.73
1914;176;Avanzado;13;7.39
1914;176;Básico;63;35.8
1914;176;Crítico;55;31.25
1914;176;Medio;38;21.59
1918;188;Avanzado;70;37.23
1918;188;Básico;41;21.81
1918;188;Crítico;21;11.17
1918;188;Medio;50;26.6
1926;367;Avanzado;99;26.98
1926;367;Básico;92;25.07
1926;367;Crítico;45;12.26
1926;367;Medio;126;34.33
1935;107;Avanzado;51;47.66
1935;107;Básico;13;12.15
1935;107;Medio;42;39.25
1936;160;Avanzado;44;27.5
1936;160;Básico;41;25.62
1936;160;Crítico;14;8.75
1936;160;Medio;57;35.62
1947;497;Avanzado;207;41.65
1947;497;Básico;54;10.87
1947;497;Crítico;32;6.44
1947;497;Medio;202;40.64
1948;318;Crítico;11;3.46
1949;209;Avanzado;22;10.53
1949;209;Básico;32;15.31
1949;209;Crítico;65;31.1
1949;209;Medio;90;43.06
1951;449;Avanzado;43;9.58
1951;449;Básico;145;32.29
1951;449;Crítico;56;12.47
1951;449;Medio;202;44.99
1952;149;Avanzado;11;7.38
1952;149;Básico;11;7.38
1952;149;Crítico;13;8.72
1952;149;Medio;33;22.15
1953;156;Avanzado;15;9.62
1953;156;Básico;34;21.79
1953;156;Crítico;20;12.82
1953;156;Medio;86;55.13
1954;350;Avanzado;73;20.86
1954;350;Básico;60;17.14
1954;350;Crítico;33;9.43
1954;350;Medio;184;52.57
1955;308;Avanzado;64;20.78
1955;308;Básico;61;19.81
1955;308;Crítico;23;7.47
1955;308;Medio;153;49.68
1956;473;Avanzado;152;32.14
1956;473;Básico;67;14.16
1956;473;Crítico;41;8.67
1956;473;Medio;212;44.82
1957;415;Avanzado;62;14.94
1957;415;Básico;83;20.0
1957;415;Crítico;43;10.36
1957;415;Medio;227;54.7
1958;315;Avanzado;50;15.87
1958;315;Básico;76;24.13
1958;315;Crítico;33;10.48
1958;315;Medio;151;47.94
1959;316;Avanzado;64;20.25
1959;316;Básico;57;18.04
1959;316;Crítico;36;11.39
1959;316;Medio;159;50.32
1960;148;Avanzado;7;4.73
1960;148;Básico;4;2.7
1960;148;Crítico;12;8.11
1960;148;Medio;15;10.14
1961;40;Básico;14;35.0
1961;40;Crítico;23;57.5
1961;40;Medio;3;7.5
1962;146;Avanzado;28;19.18
1962;146;Básico;30;20.55
1962;146;Crítico;14;9.59
1962;146;Medio;74;50.68
1964;288;Avanzado;35;12.15
1964;288;Básico;93;32.29
1964;288;Crítico;44;15.28
1964;288;Medio;107;37.15
1970;259;Avanzado;21;8.11
1970;259;Básico;71;27.41
1970;259;Crítico;62;23.94
1970;259;Medio;104;40.15
1975;103;Avanzado;36;34.95
1975;103;Básico;4;3.88
1975;103;Crítico;6;5.83
1975;103;Medio;57;55.34
1979;635;Avanzado;107;16.85
1979;635;Básico;164;25.83
1979;635;Crítico;36;5.67
1979;635;Medio;328;51.65
1980;457;Avanzado;212;46.39
1980;457;Básico;36;7.88
1980;457;Crítico;14;3.06
1980;457;Medio;184;40.26
1985;285;Avanzado;161;56.49
1985;285;Básico;10;3.51
1985;285;Crítico;20;7.02
