Escuela_ID;Total_Alumnos_por_Escuela_ID;DESEMPEÑO;Total_Alumnos_por_Tipo_de_Desempeño;Desempeño_por_Escuela
1813;371;Crítico;73;19.68
1813;371;Medio;111;29.92
1817;284;Avanzado;107;37.68
1817;284;Básico;43;15.14
1817;284;Crítico;30;10.56
1817;284;Medio;104;36.62
1818;402;Avanzado;146;36.32
1818;402;Básico;88;21.89
1818;402;Crítico;31;7.71
1818;402;Medio;137;34.08
1820;482;Avanzado;135;28.01
1820;482;Básico;107;22.2
1820;482;Crítico;66;13.69
1820;482;Medio;174;36.1
1823;276;Avanzado;110;39.86
1823;276;Básico;43;15.58
1823;276;Crítico;13;4.71
1823;276;Medio;110;39.86
1824;374;Avanzado;104;27.81
1824;374;Básico;75;20.05
1824;374;Crítico;34;9.09
1824;374;Medio;161;43.05
1831;274;Avanzado;49;17.88
1831;274;Básico;55;20.07
1831;274;Crítico;62;22.63
1831;274;Medio;108;39.42
1832;193;Avanzado;58;30.05
1832;193;Básico;41;21.24
1832;193;Crítico;24;12.44
1832;193;Medio;70;36.27
1837;353;Avanzado;92;26.06
1837;353;Básico;61;17.28
1837;353;Crítico;47;13.31
1837;353;Medio;153;43.34
1842;386;Avanzado;141;36.53
1842;386;Básico;68;17.62
1842;386;Crítico;24;6.22
1842;386;Medio;153;39.64
1844;355;Avanzado;96;27.04
1844;355;Básico;81;22.82
1844;355;Crítico;29;8.17
1844;355;Medio;149;41.97
1846;113;Avanzado;57;50.44
1846;113;Básico;14;12.39
1846;113;Crítico;6;5.31
1846;113;Medio;36;31.86
1847;351;Avanzado;133;37.89
1847;351;Básico;60;17.09
1847;351;Crítico;49;13.96
1847;351;Medio;109;31.05
1849;352;Avanzado;176;50.0
1849;352;Básico;40;11.36
1849;352;Crítico;7;1.99
1849;352;Medio;129;36.65
1852;353;Avanzado;99;28.05
1852;353;Básico;71;20.11
1852;353;Crítico;28;7.93
1852;353;Medio;155;43.91
1854;197;Avanzado;44;22.34
1854;197;Básico;67;34.01
1854;197;Crítico;38;19.29
1854;197;Medio;48;24.37
1856;176;Avanzado;19;10.8
1856;176;Básico;50;28.41
1856;176;Crítico;48;27.27
1856;176;Medio;59;33.52
1862;140;Avanzado;23;16.43
1862;140;Básico;32;22.86
1862;140;Crítico;36;25.71
1862;140;Medio;49;35.0
1865;157;Avanzado;61;38.85
1865;157;Básico;32;20.38
1865;157;Crítico;2;1.27
1865;157;Medio;62;39.49
1867;429;Avanzado;110;25.64
1867;429;Básico;96;22.38
1867;429;Crítico;53;12.35
1867;429;Medio;170;39.63
1869;351;Avanzado;72;20.51
1869;351;Básico;85;24.22
1869;351;Crítico;61;17.38
1869;351;Medio;133;37.89
1875;343;Avanzado;196;57.14
1875;343;Básico;45;13.12
1875;343;Crítico;26;7.58
1875;343;Medio;76;22.16
1877;158;Avanzado;31;19.62
1877;158;Básico;36;22.78
1877;158;Crítico;34;21.52
1877;158;Medio;57;36.08
1878;374;Avanzado;101;27.01
1878;374;Básico;93;24.87
1878;374;Crítico;29;7.75
1878;374;Medio;151;40.37
1882;311;Avanzado;129;41.48
1882;311;Básico;61;19.61
1882;311;Crítico;26;8.36
1882;311;Medio;95;30.55
1883;194;Avanzado;51;26.29
1883;194;Básico;42;21.65
1883;194;Crítico;32;16.49
1883;194;Medio;69;35.57
1884;729;Avanzado;299;41.02
1884;729;Básico;133;18.24
1884;729;Crítico;54;7.41
1884;729;Medio;243;33.33
1885;186;Avanzado;62;33.33
1885;186;Básico;47;25.27
1885;186;Crítico;14;7.53
1885;186;Medio;63;33.87
1887;148;Avanzado;16;10.81
1887;148;Básico;45;30.41
1887;148;Crítico;57;38.51
1887;148;Medio;30;20.27
1905;51;Básico;22;43.14
1905;51;Crítico;17;33.33
1905;51;Medio;12;23.53
1908;334;Avanzado;43;12.87
1908;334;Básico;92;27.54
1908;334;Crítico;114;34.13
1908;334;Medio;85;25.45
1909;277;Avanzado;116;41.88
1909;277;Básico;48;17.33
1909;277;Crítico;23;8.3
1909;277;Medio;90;32.49
1910;336;Avanzado;142;42.26
1910;336;Básico;61;18.15
1910;336;Crítico;32;9.52
1910;336;Medio;101;30.06
1913;139;Avanzado;49;35.25
1913;139;Básico;21;15.11
1913;139;Crítico;11;7.91
1913;139;Medio;58;41.73
1914;169;Avanzado;13;7.69
1914;169;Básico;63;37.28
1914;169;Crítico;55;32.54
1914;169;Medio;38;22.49
1918;182;Avanzado;70;38.46
1918;182;Básico;41;22.53
1918;182;Crítico;21;11.54
1918;182;Medio;50;27.47
1926;362;Avanzado;99;27.35
1926;362;Básico;92;25.41
1926;362;Crítico;45;12.43
1926;362;Medio;126;34.81
1935;106;Avanzado;51;48.11
1935;106;Básico;13;12.26
1935;106;Medio;42;39.62
1936;156;Avanzado;44;28.21
1936;156;Básico;41;26.28
1936;156;Crítico;14;8.97
1936;156;Medio;57;36.54
1947;495;Avanzado;207;41.82
1947;495;Básico;54;10.91
1947;495;Crítico;32;6.46
1947;495;Medio;202;40.81
1948;11;Crítico;11;100.0
1949;209;Avanzado;22;10.53
1949;209;Básico;32;15.31
1949;209;Crítico;65;31.1
1949;209;Medio;90;43.06
1951;446;Avanzado;43;9.64
1951;446;Básico;145;32.51
1951;446;Crítico;56;12.56
1951;446;Medio;202;45.29
1952;68;Avanzado;11;16.18
1952;68;Básico;11;16.18
1952;68;Crítico;13;19.12
1952;68;Medio;33;48.53
1953;155;Avanzado;15;9.68
1953;155;Básico;34;21.94
1953;155;Crítico;20;12.9
1953;155;Medio;86;55.48
1954;350;Avanzado;73;20.86
1954;350;Básico;60;17.14
1954;350;Crítico;33;9.43
1954;350;Medio;184;52.57
1955;301;Avanzado;64;21.26
1955;301;Básico;61;20.27
1955;301;Crítico;23;7.64
1955;301;Medio;153;50.83
1956;472;Avanzado;152;32.2
1956;472;Básico;67;14.19
1956;472;Crítico;41;8.69
1956;472;Medio;212;44.92
1957;415;Avanzado;62;14.94
1957;415;Básico;83;20.0
1957;415;Crítico;43;10.36
1957;415;Medio;227;54.7
1958;310;Avanzado;50;16.13
1958;310;Básico;76;24.52
1958;310;Crítico;33;10.65
1958;310;Medio;151;48.71
1959;316;Avanzado;64;20.25
1959;316;Básico;57;18.04
1959;316;Crítico;36;11.39
1959;316;Medio;159;50.32
1960;38;Avanzado;7;18.42
1960;38;Básico;4;10.53
1960;38;Crítico;12;31.58
