Escuela_ID;CURSO_NORMALIZADO;División;DESEMPEÑO;Alumno_ID
22;6°;C;Básico;5
22;6°;C;Crítico;5
22;6°;C;Medio;11
22;6°;D;Avanzado;3
22;6°;D;Básico;5
22;6°;D;Crítico;3
22;6°;D;Medio;9
22;7°;A;Avanzado;12
22;7°;A;Básico;3
22;7°;A;Crítico;6
22;7°;A;Medio;12
22;7°;B;Avanzado;5
22;7°;B;Básico;7
22;7°;B;Medio;15
22;7°;C;Avanzado;3
22;7°;C;Básico;10
22;7°;C;Crítico;3
22;7°;C;Medio;6
60;2°;A;Avanzado;1
60;2°;A;Básico;7
60;2°;A;Crítico;14
60;2°;A;Medio;4
60;3°;A;Avanzado;3
60;3°;A;Básico;5
60;3°;A;Crítico;5
60;3°;A;Medio;5
60;3°;B;Avanzado;7
60;3°;B;Básico;3
60;3°;B;Crítico;6
60;3°;B;Medio;2
60;4°;A;Avanzado;4
60;4°;A;Básico;6
60;4°;A;Crítico;2
60;4°;A;Medio;8
60;4°;B;Avanzado;10
60;4°;B;Básico;10
60;4°;B;Medio;3
60;5°;A;Avanzado;3
60;5°;A;Básico;9
60;5°;A;Crítico;8
60;5°;A;Medio;5
60;6°;A;Avanzado;4
60;6°;A;Básico;4
60;6°;A;Crítico;1
60;6°;A;Medio;10
60;6°;B;Avanzado;7
60;6°;B;Básico;3
60;6°;B;Crítico;1
60;6°;B;Medio;9
60;7°;A;Avanzado;5
60;7°;A;Básico;3
60;7°;A;Medio;20
74;2°;A;Avanzado;1
74;2°;A;Básico;10
74;2°;A;Crítico;13
74;2°;A;Medio;3
74;2°;B;Avanzado;1
74;2°;B;Básico;6
74;2°;B;Crítico;20
74;2°;B;Medio;3
74;2°;C;Básico;10
74;2°;C;Crítico;9
74;2°;C;Medio;5
74;2°;D;Básico;5
74;2°;D;Crítico;16
74;2°;D;Medio;1
74;3°;A;Avanzado;8
74;3°;A;Básico;11
74;3°;A;Crítico;5
74;3°;A;Medio;7
74;3°;B;Avanzado;6
74;3°;B;Básico;8
74;3°;B;Crítico;5
74;3°;B;Medio;14
74;3°;C;Avanzado;7
74;3°;C;Básico;10
74;3°;C;Crítico;5
74;3°;C;Medio;9
74;3°;D;Avanzado;5
74;3°;D;Básico;7
74;3°;D;Crítico;2
74;3°;D;Medio;10
74;4°;A;Avanzado;14
74;4°;A;Básico;8
74;4°;A;Crítico;2
74;4°;A;Medio;8
74;4°;B;Avanzado;10
74;4°;B;Básico;8
74;4°;B;Crítico;1
74;4°;B;Medio;11
74;4°;C;Avanzado;16
74;4°;C;Básico;4
74;4°;C;Crítico;2
74;4°;C;Medio;6
74;4°;D;Avanzado;8
74;4°;D;Básico;5
74;4°;D;Crítico;2
74;4°;D;Medio;10
74;5°;A;Avanzado;9
74;5°;A;Básico;8
74;5°;A;Crítico;4
74;5°;A;Medio;11
74;5°;B;Avanzado;5
74;5°;B;Básico;11
74;5°;B;Crítico;3
74;5°;B;Medio;10
74;5°;C;Avanzado;9
74;5°;C;Básico;7
74;5°;C;Crítico;3
74;5°;C;Medio;9
74;5°;D;Avanzado;2
74;5°;D;Básico;5
74;5°;D;Crítico;10
74;5°;D;Medio;9
74;6°;A;Avanzado;18
74;6°;A;Básico;2
74;6°;A;Medio;11
74;6°;B;Avanzado;17
74;6°;B;Básico;2
74;6°;B;Crítico;1
74;6°;B;Medio;8
74;6°;C;Avanzado;4
74;6°;C;Básico;4
74;6°;C;Crítico;1
74;6°;C;Medio;14
74;6°;D;Avanzado;10
74;6°;D;Básico;8
74;6°;D;Medio;9
74;7°;A;Avanzado;4
74;7°;A;Básico;11
74;7°;A;Crítico;3
74;7°;A;Medio;18
74;7°;B;Avanzado;5
74;7°;B;Básico;10
74;7°;B;Crítico;2
74;7°;B;Medio;15
74;7°;C;Avanzado;10
74;7°;C;Básico;1
74;7°;C;Crítico;1
74;7°;C;Medio;15
74;7°;D;Avanzado;17
74;7°;D;Básico;4
74;7°;D;Medio;10
194;2°;A;Avanzado;1
194;2°;A;Básico;2
194;2°;A;Crítico;19
194;2°;B;Básico;3
194;2°;B;Crítico;14
194;2°;C;Básico;1
194;2°;C;Crítico;15
194;2°;C;Medio;1
194;3°;A;Avanzado;5
194;3°;A;Básico;9
194;3°;A;Crítico;11
194;3°;A;Medio;4
194;3°;B;Básico;5
194;3°;B;Crítico;7
194;3°;B;Medio;4
194;3°;C;Avanzado;2
194;3°;C;Básico;5
194;3°;C;Crítico;11
194;3°;C;Medio;1
194;4°;A;Avanzado;4
194;4°;A;Básico;3
194;4°;A;Crítico;10
194;4°;A;Medio;6
194;4°;B;Avanzado;2
194;4°;B;Básico;8
194;4°;B;Crítico;17
194;4°;B;Medio;4
194;5°;A;Avanzado;1
194;5°;A;Básico;2
194;5°;A;Crítico;16
194;5°;A;Medio;4
194;5°;B;Básico;2
194;5°;B;Crítico;12
194;5°;B;Medio;6
194;6°;A;Avanzado;2
194;6°;A;Básico;3
194;6°;A;Crítico;1
194;6°;A;Medio;8
194;6°;B;Básico;8
194;6°;B;Crítico;1
194;6°;B;Medio;5
194;6°;C;Avanzado;4
194;6°;C;Básico;3
194;6°;C;Crítico;6
194;6°;C;Medio;3
194;7°;A;Avanzado;5
194;7°;A;Básico;10
194;7°;A;Crítico;3
194;7°;A;Medio;9
194;7°;B;Básico;4
194;7°;B;Crítico;10
194;7°;B;Medio;3
197;2°;A;Crítico;29
197;2°;B;Crítico;31
197;2°;C;Avanzado;3
197;2°;C;Básico;5
197;2°;C;Crítico;17
197;2°;C;Medio;2
197;2°;D;Básico;5
197;2°;D;Crítico;20
197;2°;D;Medio;3
197;3°;A;Avanzado;9
197;3°;A;Básico;5
197;3°;A;Crítico;7
197;3°;A;Medio;9
197;3°;B;Avanzado;5
197;3°;B;Básico;4
197;3°;B;Crítico;6
197;3°;B;Medio;12
197;3°;C;Avanzado;4
197;3°;C;Básico;7
197;3°;C;Crítico;7
197;3°;C;Medio;5
197;3°;D;Avanzado;2
197;3°;D;Básico;5
197;3°;D;Crítico;9
197;3°;D;Medio;6
197;4°;A;Avanzado;8
197;4°;A;Básico;6
197;4°;A;Crítico;5
197;4°;A;Medio;9
197;4°;B;Avanzado;6
197;4°;B;Básico;5
197;4°;B;Crítico;8
197;4°;B;Medio;10
