Supervisión;CURSO_NORMALIZADO;DESEMPEÑO;Alumno_ID
02 - Primario Privada;7°;Básico;114
02 - Primario Privada;7°;Crítico;71
02 - Primario Privada;7°;Medio;293
02 - Secundario Orientado;1°;Avanzado;42
02 - Secundario Orientado;1°;Básico;187
02 - Secundario Orientado;1°;Crítico;136
02 - Secundario Orientado;1°;Medio;306
02 - Secundario Orientado;2°;Avanzado;52
02 - Secundario Orientado;2°;Básico;216
02 - Secundario Orientado;2°;Crítico;216
02 - Secundario Orientado;2°;Medio;150
02 - Secundario Orientado;3°;Avanzado;41
02 - Secundario Orientado;3°;Básico;158
02 - Secundario Orientado;3°;Crítico;259
02 - Secundario Orientado;3°;Medio;129
02 - Secundario Orientado;4°;Avanzado;29
02 - Secundario Orientado;4°;Básico;161
02 - Secundario Orientado;4°;Crítico;169
02 - Secundario Orientado;4°;Medio;151
02 - Secundario Orientado;5°;Avanzado;37
02 - Secundario Orientado;5°;Básico;142
02 - Secundario Orientado;5°;Crítico;159
02 - Secundario Orientado;5°;Medio;115
02 - Secundario Orientado Privada;1°;Avanzado;134
02 - Secundario Orientado Privada;1°;Básico;72
02 - Secundario Orientado Privada;1°;Crítico;65
02 - Secundario Orientado Privada;1°;Medio;355
02 - Secundario Orientado Privada;2°;Avanzado;154
02 - Secundario Orientado Privada;2°;Básico;127
02 - Secundario Orientado Privada;2°;Crítico;89
02 - Secundario Orientado Privada;2°;Medio;182
02 - Secundario Orientado Privada;3°;Avanzado;163
02 - Secundario Orientado Privada;3°;Básico;89
02 - Secundario Orientado Privada;3°;Crítico;100
02 - Secundario Orientado Privada;3°;Medio;215
02 - Secundario Orientado Privada;4°;Avanzado;122
02 - Secundario Orientado Privada;4°;Básico;124
02 - Secundario Orientado Privada;4°;Crítico;83
02 - Secundario Orientado Privada;4°;Medio;205
02 - Secundario Orientado Privada;5°;Avanzado;100
02 - Secundario Orientado Privada;5°;Básico;130
02 - Secundario Orientado Privada;5°;Crítico;102
02 - Secundario Orientado Privada;5°;Medio;178
02 - Secundario Técnico;1°;Avanzado;145
02 - Secundario Técnico;1°;Básico;383
02 - Secundario Técnico;1°;Crítico;353
02 - Secundario Técnico;1°;Medio;762
02 - Secundario Técnico;2°;Avanzado;164
02 - Secundario Técnico;2°;Básico;457
02 - Secundario Técnico;2°;Crítico;532
02 - Secundario Técnico;2°;Medio;459
02 - Secundario Técnico;3°;Avanzado;104
02 - Secundario Técnico;3°;Básico;320
02 - Secundario Técnico;3°;Crítico;757
02 - Secundario Técnico;3°;Medio;351
02 - Secundario Técnico;4°;Avanzado;42
02 - Secundario Técnico;4°;Básico;341
02 - Secundario Técnico;4°;Crítico;521
02 - Secundario Técnico;4°;Medio;241
02 - Secundario Técnico;5°;Avanzado;41
02 - Secundario Técnico;5°;Básico;315
02 - Secundario Técnico;5°;Crítico;380
02 - Secundario Técnico;5°;Medio;191
02 - Secundario Técnico;6°;Avanzado;35
02 - Secundario Técnico;6°;Básico;193
02 - Secundario Técnico;6°;Crítico;355
02 - Secundario Técnico;6°;Medio;171
03 - Primario;2°;Avanzado;18
03 - Primario;2°;Básico;135
03 - Primario;2°;Crítico;625
03 - Primario;2°;Medio;63
03 - Primario;3°;Avanzado;91
03 - Primario;3°;Básico;230
03 - Primario;3°;Crítico;330
03 - Primario;3°;Medio;132
03 - Primario;4°;Avanzado;90
03 - Primario;4°;Básico;224
03 - Primario;4°;Crítico;263
03 - Primario;4°;Medio;203
03 - Primario;5°;Avanzado;43
03 - Primario;5°;Básico;173
03 - Primario;5°;Crítico;384
03 - Primario;5°;Medio;124
03 - Primario;6°;Avanzado;102
03 - Primario;6°;Básico;182
03 - Primario;6°;Crítico;179
03 - Primario;6°;Medio;253
03 - Primario;7°;Avanzado;70
03 - Primario;7°;Básico;221
03 - Primario;7°;Crítico;226
03 - Primario;7°;Medio;261
03 - Primario Privada;2°;Avanzado;124
03 - Primario Privada;2°;Básico;345
03 - Primario Privada;2°;Crítico;186
